cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
NAND2_X1,B_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,3.913311e-11,1.972302e-12,5.039983e-02,1.430231e-12,1.358093e-12
NAND2_X1,B_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,2.934020e-11,1.884592e-12,6.423242e-02,1.158490e-12,1.486468e-12
NAND2_X1,B_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,5.401635e-11,2.945997e-12,5.453898e-02,2.074344e-12,2.091887e-12
NAND2_X1,B_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,5.001985e-11,3.250133e-12,6.497687e-02,2.009907e-12,2.554141e-12
NAND2_X1,B_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,9.296448e-11,5.502545e-12,5.918976e-02,3.759939e-12,4.017569e-12
NAND2_X1,B_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,1.049435e-10,6.799267e-12,6.478979e-02,4.194460e-12,5.351312e-12
NAND2_X1,B_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,6.014478e-11,2.671854e-12,4.442371e-02,2.138786e-12,1.601374e-12
NAND2_X1,B_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,3.691215e-11,1.077906e-12,2.920192e-02,4.412657e-13,9.834456e-13
NAND2_X1,B_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,7.528683e-11,3.260533e-12,4.330815e-02,2.488412e-12,2.106866e-12
NAND2_X1,B_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,5.353000e-11,2.529129e-12,4.724695e-02,1.385689e-12,2.115741e-12
NAND2_X1,B_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,1.139782e-10,5.819479e-12,5.105783e-02,4.193323e-12,4.035143e-12
NAND2_X1,B_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,1.049473e-10,6.754995e-12,6.436559e-02,4.148053e-12,5.331380e-12
NOR2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,3.149759e-11,2.101922e-12,6.673277e-02,1.775471e-12,1.125067e-12
NOR2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,2.592475e-11,1.599206e-12,6.168645e-02,1.270011e-12,9.718693e-13
NOR2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,4.314472e-11,2.771512e-12,6.423757e-02,2.331922e-12,1.497804e-12
NOR2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,3.980905e-11,2.458139e-12,6.174826e-02,1.954405e-12,1.490890e-12
NOR2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,7.231605e-11,4.523483e-12,6.255157e-02,3.785002e-12,2.477026e-12
